r(C-OH)	r(c-Cl)	HoF(kcal/mol)
1.3	1.5	188.077388
1.3	1.55	161.504339
1.3	1.6	138.696895
1.3	1.65	119.047382
1.3	1.7	102.065182
1.3	1.75	87.360052
1.3	1.8	74.623748
1.3	1.85	63.611513
1.3	1.9	54.124896
1.3	1.95	45.997171
1.3	2	39.081895
1.3	2.05	33.245355
1.3	2.1	28.361963
1.3	2.15	24.312502
1.3	2.2	20.984197
1.3	2.25	18.27182
1.3	2.3	16.079102
1.3	2.35	14.319931
1.3	2.4	12.919025
1.3	2.45	11.812001
1.3	2.5	10.944859
1.3	2.55	10.273044
1.3	2.6	9.760252
1.3	2.65	9.37713
1.3	2.7	9.100022
1.3	2.75	8.90983
1.3	2.8	8.791045
1.3	2.85	8.730954
1.3	2.9	8.719027
1.3	2.95	8.746441
1.3	3	8.805732
1.35	3	-8.754354
1.35	2.95	-8.833879
1.35	2.9	-8.883938
1.35	2.85	-8.897417
1.35	2.8	-8.865886
1.35	2.75	-8.779258
1.35	2.7	-8.625325
1.35	2.65	-8.389147
1.35	2.6	-8.052263
1.35	2.55	-7.591725
1.35	2.5	-6.978951
1.35	2.45	-6.178456
1.35	2.4	-5.146537
1.35	2.35	-3.830047
1.35	2.3	-2.165419
1.35	2.25	-0.078125
1.35	2.2	2.517315
1.35	2.15	5.716693
1.35	2.1	9.624966
1.35	2.05	14.354884
1.35	2	20.025935
1.35	1.95	26.764301
1.35	1.9	34.704647
1.35	1.85	43.994746
1.35	1.8	54.803038
1.35	1.75	67.330072
1.35	1.7	81.823073
1.35	1.65	98.593094
1.35	1.6	118.033493
1.35	1.55	140.638257
1.35	1.5	167.018642
1.4	1.5	150.17736
1.4	1.55	123.997223
1.4	1.6	101.604263
1.4	1.65	82.383293
1.4	1.7	65.836655
1.4	1.75	51.56763
1.4	1.8	39.262143
1.4	1.85	28.670315
1.4	1.9	19.589338
1.4	1.95	11.848921
1.4	2	5.299834
1.4	2.05	-0.193645
1.4	2.1	-4.758388
1.4	2.15	-8.514226
1.4	2.2	-11.573948
1.4	2.25	-14.042287
1.4	2.3	-16.014589
1.4	2.35	-17.575718
1.4	2.4	-18.799461
1.4	2.45	-19.748561
1.4	2.5	-20.475306
1.4	2.55	-21.022532
1.4	2.6	-21.424884
1.4	2.65	-21.710148
1.4	2.7	-21.900534
1.4	2.75	-22.013828
1.4	2.8	-22.064361
1.4	2.85	-22.063793
1.4	2.9	-22.021718
1.4	2.95	-21.946125
1.4	3	-21.843736
1.45	3	-31.311908
1.45	2.95	-31.439767
1.45	2.9	-31.543759
1.45	2.85	-31.617601
1.45	2.8	-31.653796
1.45	2.75	-31.64329
1.45	2.7	-31.575025
1.45	2.65	-31.435325
1.45	2.6	-31.207119
1.45	2.55	-30.868967
1.45	2.5	-30.393904
1.45	2.45	-29.748141
1.45	2.4	-28.88971
1.45	2.35	-27.767182
1.45	2.3	-26.318626
1.45	2.25	-24.47097
1.45	2.2	-22.139941
1.45	2.15	-19.230591
1.45	2.1	-15.638365
1.45	2.05	-11.250372
1.45	2	-5.946367
1.45	1.95	0.401285
1.45	1.9	7.929446
1.45	1.85	16.78889
1.45	1.8	27.15186
1.45	1.75	39.223523
1.45	1.7	53.256524
1.45	1.65	69.568092
1.45	1.6	88.558465
1.45	1.55	110.729151
1.45	1.5	136.699501
1.5	1.5	125.870661
1.5	1.55	100.120319
1.5	1.6	78.182537
1.5	1.65	59.433703
1.5	1.7	43.368373
1.5	1.75	29.582728
1.5	1.8	17.756328
1.5	1.85	7.633713
1.5	1.9	-0.992702
